Building ID,Meter Identifier,Appliances
1,ElecMeter(2),"Appliance(type='boiler', instance=1)"
1,ElecMeter(3),"Appliance(type='solar thermal pumping station', instance=1)"
1,ElecMeter(4),"Appliance(type='laptop computer', instance=1), Appliance(type='laptop computer', instance=3)"
1,ElecMeter(5),"Appliance(type='washer dryer', instance=1)"
1,ElecMeter(6),"Appliance(type='dish washer', instance=1)"
1,ElecMeter(7),"Appliance(type='television', instance=1)"
1,ElecMeter(8),"Appliance(type='light', instance=1), Appliance(type='light', instance=2)"
1,ElecMeter(9),"Appliance(type='HTPC', instance=1)"
1,ElecMeter(10),"Appliance(type='kettle', instance=1), Appliance(type='food processor', instance=1), Appliance(type='toasted sandwich maker', instance=1)"
1,ElecMeter(11),"Appliance(type='toaster', instance=1), Appliance(type='kitchen aid', instance=1), Appliance(type='food processor', instance=2)"
1,ElecMeter(12),"Appliance(type='fridge freezer', instance=1)"
1,ElecMeter(13),"Appliance(type='microwave', instance=1)"
1,ElecMeter(14),"Appliance(type='computer monitor', instance=1)"
1,ElecMeter(15),"Appliance(type='audio system', instance=1)"
1,ElecMeter(16),"Appliance(type='breadmaker', instance=1)"
1,ElecMeter(17),"Appliance(type='audio amplifier', instance=1)"
1,ElecMeter(18),"Appliance(type='broadband router', instance=1)"
1,ElecMeter(19),"Appliance(type='light', instance=3)"
1,ElecMeter(20),"Appliance(type='soldering iron', instance=1)"
1,ElecMeter(21),"Appliance(type='ethernet switch', instance=1), Appliance(type='USB hub', instance=1)"
1,ElecMeter(22),"Appliance(type='vacuum cleaner', instance=1)"
1,ElecMeter(23),"Appliance(type='light', instance=4)"
1,ElecMeter(24),"Appliance(type='light', instance=5)"
1,ElecMeter(25),"Appliance(type='light', instance=16)"
1,ElecMeter(26),"Appliance(type='light', instance=6)"
1,ElecMeter(27),"Appliance(type='tablet computer charger', instance=1)"
1,ElecMeter(28),"Appliance(type='active subwoofer', instance=1)"
1,ElecMeter(29),"Appliance(type='light', instance=7)"
1,ElecMeter(30),"Appliance(type='radio', instance=1)"
1,ElecMeter(31),"Appliance(type='light', instance=8)"
1,ElecMeter(32),"Appliance(type='wireless phone charger', instance=1), Appliance(type='audio system', instance=2)"
1,ElecMeter(33),"Appliance(type='light', instance=9)"
1,ElecMeter(34),"Appliance(type='mobile phone charger', instance=1)"
1,ElecMeter(35),"Appliance(type='light', instance=10)"
1,ElecMeter(36),"Appliance(type='coffee maker', instance=1)"
1,ElecMeter(37),"Appliance(type='radio', instance=2)"
1,ElecMeter(38),"Appliance(type='mobile phone charger', instance=2), Appliance(type='baby monitor', instance=2), Appliance(type='radio', instance=3)"
1,ElecMeter(39),"Appliance(type='hair dryer', instance=1)"
1,ElecMeter(40),"Appliance(type='hair straighteners', instance=1)"
1,ElecMeter(41),"Appliance(type='clothes iron', instance=1)"
1,ElecMeter(42),"Appliance(type='oven', instance=1)"
1,ElecMeter(43),"Appliance(type='computer', instance=1), Appliance(type='external hard disk', instance=1)"
1,ElecMeter(44),"Appliance(type='light', instance=11)"
1,ElecMeter(45),"Appliance(type='light', instance=12)"
1,ElecMeter(46),"Appliance(type='baby monitor', instance=1)"
1,ElecMeter(47),"Appliance(type='charger', instance=1)"
1,ElecMeter(48),"Appliance(type='light', instance=13)"
1,ElecMeter(49),"Appliance(type='light', instance=14)"
1,ElecMeter(50),"Appliance(type='light', instance=15)"
1,ElecMeter(51),"Appliance(type='desktop computer', instance=1)"
1,ElecMeter(52),"Appliance(type='fan', instance=1)"
1,ElecMeter(53),"Appliance(type='printer', instance=1)"
1,ElecMeter(54),"Appliance(type='immersion heater', instance=1), Appliance(type='water pump', instance=1), Appliance(type='security alarm', instance=1), Appliance(type='fan', instance=2), Appliance(type='drill', instance=1), Appliance(type='laptop computer', instance=2)"
2,ElecMeter(2),"Appliance(type='laptop computer', instance=1)"
2,ElecMeter(3),"Appliance(type='computer monitor', instance=1)"
2,ElecMeter(4),"Appliance(type='active speaker', instance=1)"
2,ElecMeter(5),"Appliance(type='computer', instance=1)"
2,ElecMeter(6),"Appliance(type='broadband router', instance=1)"
2,ElecMeter(7),"Appliance(type='external hard disk', instance=1)"
2,ElecMeter(8),"Appliance(type='kettle', instance=1)"
2,ElecMeter(9),"Appliance(type='rice cooker', instance=1)"
2,ElecMeter(10),"Appliance(type='running machine', instance=1)"
2,ElecMeter(11),"Appliance(type='laptop computer', instance=2)"
2,ElecMeter(12),"Appliance(type='washing machine', instance=1)"
2,ElecMeter(13),"Appliance(type='dish washer', instance=1)"
2,ElecMeter(14),"Appliance(type='fridge', instance=1)"
2,ElecMeter(15),"Appliance(type='microwave', instance=1)"
2,ElecMeter(16),"Appliance(type='toaster', instance=1)"
2,ElecMeter(17),"Appliance(type='games console', instance=1)"
2,ElecMeter(18),"Appliance(type='modem', instance=1)"
2,ElecMeter(19),"Appliance(type='cooker', instance=1)"
2,ElecMeter(20),None
3,ElecMeter(1),None
3,ElecMeter(2),"Appliance(type='kettle', instance=1)"
3,ElecMeter(3),"Appliance(type='electric space heater', instance=1)"
3,ElecMeter(4),"Appliance(type='laptop computer', instance=1)"
